visaSubclassCode,visaSubclassText,visaSubclassSort,visaCategory,streamCode,streamText,percent75,percent90,percent25,percent50,updated,endDate,additionalInfo
500,<a href='/visas/getting-a-visa/visa-listing/student-500'>500 - Student visa (subclass 500)</a>,500 - Student visa (subclass 500),Student,44,Higher Education Sector,37 Days,4 Months,12 Days,23 Days,29 July 2025,30 June 2025,
500,<a href='/visas/getting-a-visa/visa-listing/student-500'>500 - Student visa (subclass 500)</a>,500 - Student visa (subclass 500),Student,46,Non-Award Sector,16 Days,24 Days,Less than 1 Day,Less than 1 Day,29 July 2025,30 June 2025,<p><br><br></p><br><p>​</p>
590,<a href='/visas/getting-a-visa/visa-listing/student-590'>590 - Student Guardian visa (subclass 590)</a>,590 - Student Guardian visa (subclass 590),Other Temporary,,,64 Days,6 Months,16 Days,35 Days,29 July 2025,30 June 2025,
600,<a href='/visas/getting-a-visa/visa-listing/visitor-600/tourist-stream-overseas'>600 - Visitor (subclass 600)</a>,600 - Visitor (subclass 600),Visitor,29,Tourist,16 Days,23 Days,5 Days,12 Days,29 July 2025,30 June 2025,<p>​<br><br></p>​<br>
600,<a href='/visas/getting-a-visa/visa-listing/visitor-600/sponsored-family-stream'>600 - Visitor (subclass 600)</a>,600 - Visitor (subclass 600),Visitor,30,Sponsored Family,32 Days,41 Days,21 Days,27 Days,29 July 2025,30 June 2025,<p>​<br><br></p>
602,<a href='/visas/getting-a-visa/visa-listing/medical-treatment-602'>602 - Medical Treatment (subclass 602) - outside Australia</a>,602 - Medical Treatment (subclass 602) - outside Australia,Other Temporary,,,57 Days,6 Months,3 Days,17 Days,29 July 2025,30 June 2025,
651,<a href='/visas/getting-a-visa/visa-listing/evisitor-651'>651 - eVisitor  (subclass 651)</a>,651 - eVisitor  (subclass 651),Visitor,,,Less than 1 Day,Less than 1 Day,Less than 1 Day,Less than 1 Day,29 July 2025,30 June 2025,<p>​<br><br></p>​<br>
771,<a href='/visas/getting-a-visa/visa-listing/transit-771'>771 - Transit  (subclass 771)</a>,771 - Transit  (subclass 771),Crew and Transit,,,12 Days,28 Days,1 Day,4 Days,29 July 2025,30 June 2025,
600,<a href='/visas/getting-a-visa/visa-listing/visitor-600/business-visitor-stream'>600 - Visitor (subclass 600)</a>,600 - Visitor (subclass 600),Visitor,31,Business Visitor,12 Days,18 Days,3 Days,6 Days,29 July 2025,30 June 2025,<p>​<br><br></p>
801,<a href='/visas/getting-a-visa/visa-listing/partner-onshore/permanent-801'>801 - Partner (subclass 801)</a>,801 - Partner (subclass 801),Family,,,9 Months,14 Months,7 Months,7 Months,29 July 2025,30 June 2025,<p>The processing time for a Permanent Partner visa (subclass 801 or 100) starts from the date of eligibility. This is 2 years after the combined subclass 820/801 or 309/100 visa application was lodged. We are processing some older and more complex Partner visa applications. These cases can take longer to finalise and impact our published processing times.</p>​<br>
802,<a href='/visas/getting-a-visa/visa-listing/child-802'>802 - Child (subclass 802)</a>,802 - Child (subclass 802),Family,,,23 Months,27 Months,20 Months,22 Months,29 July 2025,30 June 2025,
808,<a href='/visas/getting-a-visa/visa-listing/confirmatory-residence-subclass-808'>808 - Confirmatory (Residence)  (subclass 808)</a>,808 - Confirmatory (Residence)  (subclass 808),Other Permanent,,,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,29 July 2025,30 June 2025,
820,<a href='/visas/getting-a-visa/visa-listing/partner-onshore/temporary-820'>820 - Partner (subclass 820)</a>,820 - Partner (subclass 820),Family,,,18 Months,23 Months,11 Months,15 Months,29 July 2025,30 June 2025,<p>We are processing some older and more complex Partner visa applications. These cases can take longer to finalise and impact our published processing times.</p>​<br>
837,<a href='/visas/getting-a-visa/visa-listing/orphan-relative-837'>837 - Orphan Relative (subclass 837)</a>,837 - Orphan Relative (subclass 837),Family,,,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,29 July 2025,30 June 2025,
887,<a href='/visas/getting-a-visa/visa-listing/skilled-regional-887'>887 - Skilled-Regional (subclass 887)</a>,887 - Skilled-Regional (subclass 887),Skilled,,,15 Months,17 Months,3 Months,13 Months,29 July 2025,30 June 2025,<p>​<br><br></p>
890,<a href='/visas/getting-a-visa/visa-listing/business-owner-890'>890 - Business Owner (subclass 890)</a>,890 - Business Owner (subclass 890),Skilled,,,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,29 July 2025,30 June 2025,
892,<a href='/visas/getting-a-visa/visa-listing/state-or-territory-sponsored-business-owner-892'>892 - State Sponsored Business Owner  (subclass 892)</a>,892 - State Sponsored Business Owner  (subclass 892),Skilled,,,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,29 July 2025,30 June 2025,
891,<a href='/visas/getting-a-visa/visa-listing/investor-891'>891 - Investor (subclass 891)</a>,891 - Investor (subclass 891),Skilled,,,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,29 July 2025,30 June 2025,
893,<a href='/visas/getting-a-visa/visa-listing/state-or-territory-sponsored-investor-893'>893 - Sponsored Investor (subclass 893)</a>,893 - Sponsored Investor (subclass 893),Skilled,,,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,29 July 2025,30 June 2025,
408,<a href='/visas/getting-a-visa/visa-listing/temporary-activity-408/sporting-activities'>408 - Temporary Work Activity visa (subclass 408)</a>,408 - Temporary Work Activity visa (subclass 408),Temporary Resident (Other Employment),51,Sporting Activities,21 Days,59 Days,4 Days,9 Days,29 July 2025,30 June 2025,
988,<a href='/visas/getting-a-visa/visa-listing/maritime-crew-988'>988 - Maritime Crew  (subclass 988)</a>,988 - Maritime Crew  (subclass 988),Crew and Transit,,,Less than 1 Day,2 Days,Less than 1 Day,Less than 1 Day,29 July 2025,30 June 2025,​<br/><br>
189,<a href='/visas/getting-a-visa/visa-listing/skilled-independent-189/points-tested'>189 - Skilled Independent  (subclass 189)</a>,189 - Skilled Independent  (subclass 189),Skilled,63,Points-Tested,7 Months,7 Months,6 Months,6 Months,29 July 2025,30 June 2025,<p>​<br><br></p>
189,<a href='/visas/getting-a-visa/visa-listing/skilled-independent-189/new-zealand'>189 - Skilled Independent  (subclass 189)</a>,189 - Skilled Independent  (subclass 189),Skilled,62,New Zealand,46 Months,50 Months,36 Months,41 Months,29 July 2025,30 June 2025,<p>​<br><br></p>
188,<a href='/visas/getting-a-visa/visa-listing/business-innovation-and-investment-188/business-innovation-extension-stream'>188 - Business Innovation & Investment (Provisional) (subclass 188)</a>,188 - Business Innovation & Investment (Provisional) (subclass 188),Skilled,35,Business Innovation Extension,15 Months,20 Months,4 Months,11 Months,29 July 2025,30 June 2025,
888,<a href='/visas/getting-a-visa/visa-listing/business-innovation-and-investment-888/business-innovation-stream'>888 - Business Innovation & Investment (Permanent) (subclass 888)</a>,888 - Business Innovation & Investment (Permanent) (subclass 888),Skilled,12,Business Innovation,4 Months,7 Months,49 Days,71 Days,29 July 2025,30 June 2025,
188,<a href='/visas/getting-a-visa/visa-listing/business-innovation-and-investment-188/significant-investor-extension-stream'>188 - Business Innovation & Investment (Provisional) (subclass 188)</a>,188 - Business Innovation & Investment (Provisional) (subclass 188),Skilled,36,Significant Investor Extension,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,29 July 2025,30 June 2025,
888,<a href='/visas/getting-a-visa/visa-listing/business-innovation-and-investment-888/investor-stream'>888 - Business Innovation & Investment (Permanent) (subclass 888)</a>,888 - Business Innovation & Investment (Permanent) (subclass 888),Skilled,13,Investor,6 Months,9 Months,52 Days,76 Days,29 July 2025,30 June 2025,
888,<a href='/visas/getting-a-visa/visa-listing/business-innovation-and-investment-888/premium-investor'>888 - Business Innovation & Investment (Permanent) (subclass 888)</a>,888 - Business Innovation & Investment (Permanent) (subclass 888),Skilled,40,Premium Investor,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,29 July 2025,30 June 2025,
888,<a href='/visas/getting-a-visa/visa-listing/business-innovation-and-investment-888/significant-investor-stream'>888 - Business Innovation & Investment (Permanent) (subclass 888)</a>,888 - Business Innovation & Investment (Permanent) (subclass 888),Skilled,14,Significant Investor,7 Months,24 Months,55 Days,89 Days,29 July 2025,30 June 2025,
888,<a href='/visas/getting-a-visa/visa-listing/business-innovation-and-investment-888/entrepreneur-stream'>888 - Business Innovation & Investment (Permanent) (subclass 888)</a>,888 - Business Innovation & Investment (Permanent) (subclass 888),Skilled,49,Entrepreneur,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,29 July 2025,30 June 2025,
482,<a href='/visas/getting-a-visa/visa-listing/temporary-skill-shortage-482/short-term-stream'>482 - Temporary Skill Shortage visa (subclass 482) (repealed)</a>,482 - Temporary Skill Shortage visa (subclass 482) (repealed),Temporary Resident (Skilled Employment),64,Short-term,9 Months,11 Months,7 Months,8 Months,29 July 2025,30 June 2025,
482,<a href='/visas/getting-a-visa/visa-listing/temporary-skill-shortage-482/medium-term-stream'>482 - Temporary Skill Shortage visa (subclass 482) (repealed)</a>,482 - Temporary Skill Shortage visa (subclass 482) (repealed),Temporary Resident (Skilled Employment),65,Medium-term,9 Months,11 Months,7 Months,8 Months,29 July 2025,30 June 2025,<p><br><br></p><br><p>​</p>
482,<a href='/visas/getting-a-visa/visa-listing/temporary-skill-shortage-482/labour-agreement-stream'>482 - Temporary Skill Shortage visa (subclass 482) (repealed)</a>,482 - Temporary Skill Shortage visa (subclass 482) (repealed),Temporary Resident (Skilled Employment),67,Labour Agreement,12 Months,14 Months,7 Months,10 Months,29 July 2025,30 June 2025,<p><br><br></p><br><p>​</p>
870,<a href='/visas/getting-a-visa/visa-listing/sponsored-parent-temporary-870'>870 - Sponsored Parent (temporary) visa (subclass 870)</a>,870 - Sponsored Parent (temporary) visa (subclass 870),Temporary Resident (Other Employment),66,Visa Application,6 Months,7 Months,4 Months,5 Months,29 July 2025,30 June 2025,
482,<a href='/visas/getting-a-visa/visa-listing/temporary-skill-shortage-482'>482 - Temporary Skill Shortage visa (subclass 482) (repealed)</a>,482 - Temporary Skill Shortage visa (subclass 482) (repealed),Temporary Resident (Other Employment),66,Nomination,5 Months,8 Months,Less than 1 Day,38 Days,29 July 2025,30 June 2025,
491,<a href='/visas/getting-a-visa/visa-listing/skilled-work-regional-provisional-491/application'>491 - Skilled Work Regional (provisional) visa (subclass 491)</a>,491 - Skilled Work Regional (provisional) visa (subclass 491),Skilled,71,State/Territory Government Nominated Regional,17 Months,23 Months,4 Months,4 Months,29 July 2025,30 June 2025,<p>​<br><br></p>
491,<a href='/visas/getting-a-visa/visa-listing/skilled-work-regional-provisional-491/subsequent-entrant'>491 - Skilled Work Regional (provisional) visa (subclass 491)</a>,491 - Skilled Work Regional (provisional) visa (subclass 491),Skilled,70,Family Sponsored Regional,23 Months,26 Months,21 Months,22 Months,29 July 2025,30 June 2025,<p>​<br><br></p>
494,<a href='/visas/getting-a-visa/visa-listing/skilled-employer-sponsored-regional-494/employer-sponsored-stream'>494 - Skilled Employer Sponsored Regional (provisional) (subclass 494)</a>,494 - Skilled Employer Sponsored Regional (provisional) (subclass 494),Skilled,72,Employer Sponsored,8 Months,11 Months,6 Months,7 Months,29 July 2025,30 June 2025,
494,<a href='/visas/getting-a-visa/visa-listing/skilled-employer-sponsored-regional-494/labour-agreement-stream'>494 - Skilled Employer Sponsored Regional (provisional) (subclass 494)</a>,494 - Skilled Employer Sponsored Regional (provisional) (subclass 494),Skilled,73,Labour Agreement,7 Months,8 Months,4 Months,6 Months,29 July 2025,30 June 2025,
403,<a href='/visas/getting-a-visa/visa-listing/temporary-work-403/pacific-australia-labour-mobility-stream'>403 - Temporary Work (International Relations) (subclass 403)</a>,403 - Temporary Work (International Relations) (subclass 403),Temporary Resident (Other Employment),78,Pacific Australia Labour Mobility Scheme,16 Days,39 Days,7 Days,8 Days,29 July 2025,30 June 2025,
489,<a href='/visas/getting-a-visa/visa-listing/skilled-regional-provisional-489/invited-pathway'>489 - Skilled Regional Sponsored (Provisional) (subclass 489)</a>,489 - Skilled Regional Sponsored (Provisional) (subclass 489),Skilled,37,First Provisional,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,29 July 2025,30 June 2025,
482,<a href='/visas/getting-a-visa/visa-listing/temporary-skill-shortage-482'>482 - Temporary Skill Shortage visa (subclass 482) (repealed)</a>,482 - Temporary Skill Shortage visa (subclass 482) (repealed),Temporary Resident (Other Employment),68,Sponsorship,86 Days,5 Months,34 Days,39 Days,29 July 2025,30 June 2025,
870,<a href='/visas/getting-a-visa/visa-listing/sponsored-parent-temporary-870'>870 - Sponsored Parent (temporary) visa (subclass 870)</a>,870 - Sponsored Parent (temporary) visa (subclass 870),Temporary Resident (Other Employment),67,Sponsorship,88 Days,4 Months,79 Days,83 Days,29 July 2025,30 June 2025,<p>​The increase for Sponsored Parent (Temporary) sponsorship processing times can be attributed to targeted efforts to finalise older on hand cases.​​​<br></p>
191,<a href='/visas/getting-a-visa/visa-listing/skilled-regional-191/regional-provisional'>191 - Permanent Residence (Skilled Regional) visa (subclass 191)</a>,191 - Permanent Residence (Skilled Regional) visa (subclass 191),Skilled,76,Regional Provisional Visa,13 Months,13 Months,10 Months,11 Months,29 July 2025,30 June 2025,
192,<a href='/visas/getting-a-visa/visa-listing/pacific-engagement-visa-192'>192 - Pacific Engagement visa (subclass 192)</a>,192 - Pacific Engagement visa (subclass 192),Skilled,,,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,29 July 2025,30 June 2025,
403,403 - Temporary Work (International Relations) (subclass 403),403 - Temporary Work (International Relations) (subclass 403),Temporary Resident (Other Employment),79,Mobility Arrangement for Talented Early-professionals Scheme (MATES),4 Months,4 Months,3 Months,4 Months,29 July 2025,30 June 2025,
482-1,<a href='/visas/getting-a-visa/visa-listing/skills-in-demand-visa-subclass-482/labour-agreement-stream'>{0} - {1}</a>,{0} - {1},Temporary Resident (Skilled Employment),80,Labour Agreement,3 Months,4 Months,68 Days,90 Days,29 July 2025,30 June 2025,
482-1,<a href='/visas/getting-a-visa/visa-listing/skills-in-demand-visa-subclass-482/core-skills-stream'>{0} - {1}</a>,{0} - {1},Temporary Resident (Skilled Employment),81,Core Skills,3 Months,4 Months,36 Days,79 Days,29 July 2025,30 June 2025,
482-1,<a href='/visas/getting-a-visa/visa-listing/skills-in-demand-visa-subclass-482/specialist-skills-stream'>{0} - {1}</a>,{0} - {1},Temporary Resident (Skilled Employment),82,Specialist Skills,49 Days,65 Days,6 Days,29 Days,29 July 2025,30 June 2025,
858-3,<a href='/visas/getting-a-visa/visa-listing/global-talent-visa-858'>{0} - {1}</a>,{0} - {1},Skilled,,,11 Months,18 Months,8 Months,9 Months,29 July 2025,30 June 2025,
858-4,<a href='/visas/getting-a-visa/visa-listing/national-innovation-visa-858'>{0} - {1}</a>,{0} - {1},Skilled,,,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,29 July 2025,30 June 2025,
